session_id,player_id,game_title,date,session_duration_min,in_game_purchases_usd,level,platform,region,player_type,account_age_category,achievement_count,social_interactions,churn_flag
S00000024,P00010003,Mythic Quest,2024-06-20,83,5.55,39,PLAYSTATION,na,free,New,37,45,0
S00000025,P00010003,Mythic Quest,2024-07-17,191,,45,PLAYSTATION,na,free,New,81,37,0
S00000026,P00010004,Mythic Quest,2024-04-27,68,9.20,11,Xbox,ASIA,free,Intermediate,17,17,0
S00000027,P00010004,Mythic Quest,2024-05-12,116,,12,Xbox,ASIA,free,Intermediate,15,33,No
S00000028,P00010004,Mythic Quest,2024-07-07,190,0,16,Xbox,ASIA,free,Intermediate,40,12,0
S00000029,P00010004,Mythic Quest,2024-07-30,42,,18,Xbox,ASIA,free,Intermediate,35,3,0
S00000030,P00010005,Mythic Quest,2024-05-08,214,,6,PLAYSTATION,ASIA,free,new,9,21,0
S00000031,P00010005,Mythic Quest,2024-05-10,66,0,7,PLAYSTATION,ASIA,free,new,8,31,0
S00000032,P00010005,Mythic Quest,2024-05-26,150,12.83,9,PLAYSTATION,ASIA,free,new,10,19,0
S00000033,P00010006,Mythic Quest,2024-04-18,35,6.25,30,pc,NA,PREMIUM,Intermediate,0,30,0
S00000034,P00010006,Mythic Quest,2024-05-07,95,,31,pc,NA,PREMIUM,Intermediate,10,,0
S00000035,P00010007,Mythic Quest,2024-04-26,165,8.61,1,Xbox,OCE,Casual,,19,,0
S00000036,P00010007,Mythic Quest,2024-05-07,102,0,2,Xbox,OCE,Casual,,8,25,0
S00000037,P00010007,Mythic Quest,2024-07-25,134,,6,Xbox,OCE,Casual,,,45,0
S00000038,P00010008,Mythic Quest,2024-04-17,156,138.21,2,pc,,Whale,Veteran,15,34,0
S00000039,P00010008,Mythic Quest,2024-05-09,32,0,3,pc,,Whale,Veteran,25,,Yes
S00000040,P00010009,Mythic Quest,2024-04-28,20,0,16,,NA,Casual,veteran,0,,0
S00000041,P00010009,Mythic Quest,2024-06-11,68,0,18,,NA,Casual,veteran,20,28,0
S00000042,P00010009,Mythic Quest,2024-07-18,148,0,21,,NA,Casual,veteran,25,,No
S00000043,P00010010,Mythic Quest,2024-06-10,76,0,19,pc,EU,Free,Veteran,22,12,0
S00000044,P00010010,Mythic Quest,2024-06-16,224,,21,pc,EU,Free,Veteran,33,25,No
S00000045,P00010010,Mythic Quest,2024-08-04,106,9.34,23,pc,EU,Free,Veteran,33,18,0
S00000046,P00010011,Mythic Quest,2024-04-19,38,,29,,N/A,,,20,25,0
S00000047,P00010011,Mythic Quest,2024-04-24,NULL,,30,,N/A,,,27,25,0
S00000048,P00010011,Mythic Quest,2024-06-26,185,21.16,33,,N/A,,,32,46,0
S00000049,P00010012,Mythic Quest,2024-05-03,74,3.04,49,,EU,Premium,,13,47,0
S00000050,P00010012,Mythic Quest,2024-06-05,144,,51,,EU,Premium,,13,6,0
S00000051,P00010012,Mythic Quest,2024-08-07,180,,53,,EU,Premium,,19,25,0
S00000052,P00010013,Mythic Quest,2024-05-20,141,0,46,PlayStation,na,Whale,new,17,18,0
S00000053,P00010013,Mythic Quest,2024-05-20,NULL,,47,PlayStation,na,Whale,new,5,,0
S00000054,P00010013,Mythic Quest,2024-06-22,94,,51,PlayStation,na,Whale,new,26,,0
S00000055,P00010013,Mythic Quest,2024-07-19,159,195.94,53,PlayStation,na,Whale,new,46,23,0
S00000056,P00010013,Mythic Quest,2024-08-05,199,47.54,54,PlayStation,na,Whale,new,36,4,0
S00000057,P00010013,Mythic Quest,2024-08-07,140,21.47,60,PlayStation,na,Whale,new,45,10,0
S00000058,P00010014,Mythic Quest,2024-05-05,160,0,18,PlayStation,SA,Casual,veteran,31,5,0
S00000059,P00010014,Mythic Quest,2024-05-19,49,0.69,20,PlayStation,SA,Casual,veteran,7,34,No
S00000060,P00010014,Mythic Quest,2024-05-19,212,7.61,22,PlayStation,SA,Casual,veteran,11,54,0
S00000061,P00010014,Mythic Quest,2024-05-21,153,,24,PlayStation,SA,Casual,veteran,40,38,0
S00000062,P00010014,Mythic Quest,2024-07-08,226,4.51,29,PlayStation,SA,Casual,veteran,-1,17,No
S00000063,P00010014,Mythic Quest,2024-08-02,170,,29,PlayStation,SA,Casual,veteran,49,34,1
S00000064,P00010015,Mythic Quest,2024-06-02,107,,35,PLAYSTATION,OCE,PREMIUM,New,11,46,0
S00000065,P00010015,Mythic Quest,2024-07-26,129,0,37,PLAYSTATION,OCE,PREMIUM,New,19,28,No
S00000066,P00010016,Mythic Quest,2024-05-19,69,,34,,EU,PREMIUM,,16,46,0
S00000067,P00010016,Mythic Quest,2024-06-17,61,,36,,EU,PREMIUM,,7,12,No
S00000068,P00010016,Mythic Quest,2024-06-22,181,11.18,38,,EU,PREMIUM,,28,1,0
S00000069,P00010016,Mythic Quest,2024-07-03,234,,41,,EU,PREMIUM,,23,5,0
S00000070,P00010016,Mythic Quest,2024-07-13,239,23.79,44,,EU,PREMIUM,,54,3,0
S00000071,P00010016,Mythic Quest,2024-07-19,168,3.44,46,,EU,PREMIUM,,32,39,0
S00000072,P00010017,Mythic Quest,2024-05-17,87,16.03,6,PLAYSTATION,na,,Intermediate,1,38,0
S00000073,P00010017,Mythic Quest,2024-07-22,248,3.97,8,PLAYSTATION,na,,Intermediate,46,18,0
S00000074,P00010018,Mythic Quest,2024-04-22,38,,4,pc,N/A,Casual,veteran,3,28,0
S00000075,P00010018,Mythic Quest,2024-07-13,68,0,6,pc,N/A,Casual,veteran,28,53,0
S00000076,P00010019,Mythic Quest,2024-04-24,73,84.43,49,PLAYSTATION,NA,Whale,New,6,13,0
S00000077,P00010019,Mythic Quest,2024-05-18,191,0,MAX,PLAYSTATION,NA,Whale,New,7,23,0
S00000078,P00010020,Mythic Quest,2024-06-07,86,,41,PC,EU,Casual,veteran,8,43,0
S00000079,P00010020,Mythic Quest,2024-07-14,36,23.16,43,PC,EU,Casual,veteran,36,10,1
S00000080,P00010021,Mythic Quest,2024-04-29,71,,46,Xbox,EU,Premium,Intermediate,15,41,0
S00000081,P00010021,Mythic Quest,2024-05-18,75,8.86,47,Xbox,EU,Premium,Intermediate,8,20,No
S00000082,P00010021,Mythic Quest,2024-06-23,138,19.24,50,Xbox,EU,Premium,Intermediate,21,,0
S00000083,P00010021,Mythic Quest,2024-07-17,80,11.69,54,Xbox,EU,Premium,Intermediate,41,31,0
S00000084,P00010021,Mythic Quest,2024-07-24,249,,56,Xbox,EU,Premium,Intermediate,59,4,0
S00000085,P00010021,Mythic Quest,2024-08-07,43,0,57,Xbox,EU,Premium,Intermediate,30,46,No
S00000086,P00010021,Mythic Quest,2024-08-08,208,,60,Xbox,EU,Premium,Intermediate,45,59,No
S00000087,P00010021,Mythic Quest,2024-08-11,65,9.76,65,Xbox,EU,Premium,Intermediate,69,9,0
S00000088,P00010022,Mythic Quest,2024-05-19,174,19.36,19,PLAYSTATION,na,Free,New,26,38,0
S00000089,P00010022,Mythic Quest,2024-05-20,16,,21,PLAYSTATION,na,Free,New,10,21,0
S00000090,P00010022,Mythic Quest,2024-08-09,88,23.82,23,PLAYSTATION,na,Free,New,25,38,0
S00000091,P00010022,Mythic Quest,2024-08-14,NULL,0,26,PLAYSTATION,na,Free,New,-1,56,0
S00000092,P00010023,Mythic Quest,2024-04-25,59,,17,PLAYSTATION,SA,Free,,3,,0
S00000093,P00010023,Mythic Quest,2024-05-11,196,0,19,PLAYSTATION,SA,Free,,28,33,1
S00000094,P00010024,Mythic Quest,2024-06-30,84,17.81,5,PlayStation,SA,Free,,17,27,No
S00000095,P00010024,Mythic Quest,2024-08-07,169,,7,PlayStation,SA,Free,,40,24,0
S00000096,P00010025,Mythic Quest,2024-04-17,96,,15,pc,OCE,free,Intermediate,19,22,0
S00000097,P00010025,Mythic Quest,2024-05-10,29,,16,pc,OCE,free,Intermediate,14,26,0
S00000098,P00010025,Mythic Quest,2024-06-21,117,0,19,pc,OCE,free,Intermediate,32,2,0
S00000099,P00010025,Mythic Quest,2024-07-20,87,0,,pc,OCE,free,Intermediate,50,,0
S00000100,P00010026,Mythic Quest,2024-06-18,127,0,43,pc,NA,,New,29,31,0
S00000101,P00010026,Mythic Quest,2024-07-12,115,,45,pc,NA,,New,23,58,1
S00000102,P00010027,Mythic Quest,2024-06-12,123,10.14,50,PLAYSTATION,NA,Premium,veteran,12,45,0
S00000103,P00010027,Mythic Quest,2024-06-28,200,0,52,PLAYSTATION,NA,Premium,veteran,22,15,0
S00000104,P00010028,Mythic Quest,2024-05-03,42,23.61,32,Xbox,NA,Whale,New,11,40,0
S00000105,P00010028,Mythic Quest,2024-05-06,51,0,34,Xbox,NA,Whale,New,12,23,0
S00000106,P00010028,Mythic Quest,2024-05-15,39,0,35,Xbox,NA,Whale,New,32,30,No
S00000107,P00010028,Mythic Quest,2024-05-17,70,,38,Xbox,NA,Whale,New,25,,1
S00000108,P00010030,Mythic Quest,2024-04-20,107,0,36,,SA,PREMIUM,new,10,32,0
S00000109,P00010030,Mythic Quest,2024-04-26,24,0,37,,SA,PREMIUM,new,15,40,0
S00000110,P00010030,Mythic Quest,2024-07-12,93,2.61,40,,SA,PREMIUM,new,40,41,0
S00000111,P00010031,Mythic Quest,2024-04-29,151,0,34,,ASIA,Premium,Intermediate,9,,No
S00000112,P00010031,Mythic Quest,2024-06-02,186,0,35,,ASIA,Premium,Intermediate,27,1,0
S00000113,P00010031,Mythic Quest,2024-07-08,,0,39,,ASIA,Premium,Intermediate,38,54,0
S00000114,P00010032,Mythic Quest,2024-04-20,NULL,0,29,PlayStation,SA,PREMIUM,,13,14,0
S00000115,P00010032,Mythic Quest,2024-05-17,168,,30,PlayStation,SA,PREMIUM,,-1,19,0
S00000116,P00010032,Mythic Quest,2024-06-04,212,12.47,33,PlayStation,SA,PREMIUM,,19,12,0
S00000117,P00010032,Mythic Quest,2024-06-06,132,,34,PlayStation,SA,PREMIUM,,32,0,0
S00000118,P00010032,Mythic Quest,2024-06-14,145,1.52,36,PlayStation,SA,PREMIUM,,28,37,0
S00000119,P00010032,Mythic Quest,2024-07-02,97,,MAX,PlayStation,SA,PREMIUM,,54,38,0
S00000120,P00010032,Mythic Quest,2024-08-04,NULL,,42,PlayStation,SA,PREMIUM,,62,47,0
S00000121,P00010033,Mythic Quest,2024-05-23,33,,39,PlayStation,,free,veteran,24,4,0
S00000122,P00010033,Mythic Quest,2024-06-09,156,10.01,40,PlayStation,,free,veteran,24,27,No
S00000123,P00010033,Mythic Quest,2024-06-27,91,,44,PlayStation,,free,veteran,53,53,0
S00000124,P00010033,Mythic Quest,2024-07-06,112,,47,PlayStation,,free,veteran,21,19,0
S00000125,P00010034,Mythic Quest,2024-04-16,53,8.16,35,,,PREMIUM,Intermediate,28,43,0
S00000126,P00010034,Mythic Quest,2024-05-07,70,0,36,,,PREMIUM,Intermediate,22,33,0
S00000127,P00010034,Mythic Quest,2024-06-14,194,21.70,39,,,PREMIUM,Intermediate,17,2,0
S00000128,P00010034,Mythic Quest,2024-06-20,138,0,41,,,PREMIUM,Intermediate,25,19,0
S00000129,P00010034,Mythic Quest,2024-07-19,266,0,46,,,PREMIUM,Intermediate,48,25,0
S00000130,P00010034,Mythic Quest,2024-07-29,72,,49,,,PREMIUM,Intermediate,58,25,0
S00000131,P00010034,Mythic Quest,2024-07-30,121,0,52,,,PREMIUM,Intermediate,79,34,0
S00000132,P00010034,Mythic Quest,2024-08-02,34,15.63,52,,,PREMIUM,Intermediate,56,1,0
S00000133,P00010035,Mythic Quest,2024-04-22,39,0,31,Xbox,EU,Whale,,26,13,0
S00000134,P00010035,Mythic Quest,2024-05-24,96,123.67,33,Xbox,EU,Whale,,36,51,0
S00000135,P00010035,Mythic Quest,2024-05-28,165,175.65,34,Xbox,EU,Whale,,14,13,0
S00000136,P00010035,Mythic Quest,2024-06-02,124,,35,Xbox,EU,Whale,,23,39,0
S00000137,P00010035,Mythic Quest,2024-08-05,154,,39,Xbox,EU,Whale,,45,5,0
S00000138,P00010036,Mythic Quest,2024-04-21,45,8.28,20,PC,N/A,free,,13,29,1
S00000139,P00010037,Mythic Quest,2024-04-22,145,0,27,Xbox,ASIA,Premium,veteran,,29,0
S00000140,P00010037,Mythic Quest,2024-05-02,201,,29,Xbox,ASIA,Premium,veteran,32,,No
S00000141,P00010037,Mythic Quest,2024-05-12,33,,31,Xbox,ASIA,Premium,veteran,33,5,No
S00000142,P00010037,Mythic Quest,2024-06-27,191,0,33,Xbox,ASIA,Premium,veteran,28,22,0
S00000143,P00010037,Mythic Quest,2024-06-27,84,,36,Xbox,ASIA,Premium,veteran,49,5,0
S00000144,P00010037,Mythic Quest,2024-07-13,174,1.25,37,Xbox,ASIA,Premium,veteran,46,53,0
S00000145,P00010037,Mythic Quest,2024-08-04,206,0,40,Xbox,ASIA,Premium,veteran,,35,0
S00000146,P00010038,Mythic Quest,2024-05-06,,0,28,pc,ASIA,Free,New,9,2,0
S00000147,P00010038,Mythic Quest,2024-05-21,92,,29,pc,ASIA,Free,New,16,16,1
S00000148,P00010039,Mythic Quest,2024-04-18,139,0,30,PlayStation,na,Free,Veteran,1,8,0
S00000149,P00010039,Mythic Quest,2024-06-11,48,,32,PlayStation,na,Free,Veteran,17,12,0
S00000150,P00010039,Mythic Quest,2024-06-16,132,0,35,PlayStation,na,Free,Veteran,22,51,0
S00000151,P00010039,Mythic Quest,2024-07-17,132,12.55,37,PlayStation,na,Free,Veteran,56,,0
S00000152,P00010039,Mythic Quest,2024-08-01,,,39,PlayStation,na,Free,Veteran,34,13,0
S00000153,P00010039,Mythic Quest,2024-08-12,101,3.45,43,PlayStation,na,Free,Veteran,42,21,0
S00000154,P00010040,Mythic Quest,2024-04-28,172,0,1,Xbox,OCE,Free,Intermediate,-1,23,1
S00000155,P00010041,Mythic Quest,2024-07-12,32,,28,Xbox,na,Free,,10,48,0
S00000156,P00010041,Mythic Quest,2024-07-16,NULL,0,30,Xbox,na,Free,,21,5,0
S00000157,P00010041,Mythic Quest,2024-07-19,60,,33,Xbox,na,Free,,38,42,0
S00000158,P00010041,Mythic Quest,2024-08-02,56,0,34,Xbox,na,Free,,48,15,0
S00000159,P00010042,Mythic Quest,2024-07-16,,,28,pc,N/A,,new,3,1,0
S00000160,P00010042,Mythic Quest,2024-08-06,16,25.83,30,pc,N/A,,new,22,5,0
S00000161,P00010043,Mythic Quest,2024-04-30,70,0,33,,na,Premium,new,4,24,1
S00000162,P00010044,Mythic Quest,2024-05-14,87,,,PLAYSTATION,SA,Casual,,25,35,0
S00000163,P00010044,Mythic Quest,2024-05-23,106,0,14,PLAYSTATION,SA,Casual,,24,23,0
S00000164,P00010044,Mythic Quest,2024-05-24,169,0,17,PLAYSTATION,SA,Casual,,20,45,0
S00000165,P00010044,Mythic Quest,2024-07-12,188,,21,PLAYSTATION,SA,Casual,,42,42,No
S00000166,P00010044,Mythic Quest,2024-07-25,219,2.57,24,PLAYSTATION,SA,Casual,,33,52,0
S00000167,P00010045,Mythic Quest,2024-05-08,81,,33,PLAYSTATION,na,Free,veteran,5,32,No
S00000168,P00010045,Mythic Quest,2024-05-20,68,,34,PLAYSTATION,na,Free,veteran,32,4,No
S00000169,P00010045,Mythic Quest,2024-07-06,175,0,38,PLAYSTATION,na,Free,veteran,15,22,0
S00000170,P00010045,Mythic Quest,2024-07-09,78,,41,PLAYSTATION,na,Free,veteran,24,13,0
S00000171,P00010045,Mythic Quest,2024-07-09,112,15.59,41,PLAYSTATION,na,Free,veteran,26,31,0
S00000172,P00010045,Mythic Quest,2024-07-28,193,3.93,47,PLAYSTATION,na,Free,veteran,69,62,0
S00000173,P00010045,Mythic Quest,2024-08-13,122,,47,PLAYSTATION,na,Free,veteran,41,49,0
S00000174,P00010046,Mythic Quest,2024-04-21,134,0,20,PC,EU,Free,Intermediate,11,16,1
S00000175,P00010047,Mythic Quest,2024-04-17,98,0,4,PlayStation,ASIA,Premium,Veteran,4,23,0
S00000176,P00010047,Mythic Quest,2024-05-28,,,6,PlayStation,ASIA,Premium,Veteran,35,13,No
S00000177,P00010048,Mythic Quest,2024-05-10,47,,4,PLAYSTATION,ASIA,Premium,veteran,33,41,0
S00000178,P00010048,Mythic Quest,2024-06-01,116,7.74,5,PLAYSTATION,ASIA,Premium,veteran,18,14,0
S00000179,P00010048,Mythic Quest,2024-06-03,143,8.35,7,PLAYSTATION,ASIA,Premium,veteran,27,14,0
S00000180,P00010048,Mythic Quest,2024-06-20,29,,10,PLAYSTATION,ASIA,Premium,veteran,31,30,0
S00000181,P00010048,Mythic Quest,2024-07-15,134,0,12,PLAYSTATION,ASIA,Premium,veteran,47,8,0
S00000182,P00010048,Mythic Quest,2024-08-12,194,1.87,14,PLAYSTATION,ASIA,Premium,veteran,38,15,0
S00000183,P00010048,Mythic Quest,2024-08-14,169,2.30,18,PLAYSTATION,ASIA,Premium,veteran,54,43,0
S00000184,P00010049,Mythic Quest,2024-04-26,99,0,36,,SA,Whale,Intermediate,4,40,0
S00000185,P00010049,Mythic Quest,2024-04-27,159,160.14,37,,SA,Whale,Intermediate,-1,29,0
S00000186,P00010049,Mythic Quest,2024-05-26,100,0,39,,SA,Whale,Intermediate,23,19,0
S00000187,P00010049,Mythic Quest,2024-06-06,14,23.87,41,,SA,Whale,Intermediate,-1,25,0
S00000188,P00010049,Mythic Quest,2024-06-12,67,126.52,44,,SA,Whale,Intermediate,-1,41,0
S00000189,P00010049,Mythic Quest,2024-07-20,158,0,48,,SA,Whale,Intermediate,45,,0
S00000190,P00010049,Mythic Quest,2024-08-13,184,0,53,,SA,Whale,Intermediate,63,14,0
S00000191,P00010050,Mythic Quest,2024-05-04,41,,21,Xbox,ASIA,free,New,20,39,0
S00000192,P00010050,Mythic Quest,2024-06-16,193,,23,Xbox,ASIA,free,New,42,41,No
S00000193,P00010050,Mythic Quest,2024-06-22,133,8.30,25,Xbox,ASIA,free,New,25,42,0
S00000194,P00010051,Mythic Quest,2024-05-13,,8.99,44,Xbox,NA,free,veteran,15,27,0
S00000195,P00010051,Mythic Quest,2024-06-29,214,,46,Xbox,NA,free,veteran,32,36,0
S00000196,P00010051,Mythic Quest,2024-07-04,175,,49,Xbox,NA,free,veteran,16,0,No
S00000197,P00010051,Mythic Quest,2024-07-15,245,,52,Xbox,NA,free,veteran,53,1,No
S00000198,P00010051,Mythic Quest,2024-07-19,14,,54,Xbox,NA,free,veteran,28,,0
S00000199,P00010051,Mythic Quest,2024-07-22,179,,56,Xbox,NA,free,veteran,60,48,0
S00000200,P00010052,Mythic Quest,2024-06-13,88,,46,PLAYSTATION,ASIA,Casual,New,2,21,0
S00000201,P00010052,Mythic Quest,2024-07-16,74,0,48,PLAYSTATION,ASIA,Casual,New,33,3,No
S00000202,P00010052,Mythic Quest,2024-07-27,117,0,51,PLAYSTATION,ASIA,Casual,New,56,24,1
S00000203,P00010053,Mythic Quest,2024-05-14,143,9.55,48,,ASIA,Premium,,14,33,0
S00000204,P00010053,Mythic Quest,2024-06-05,70,,49,,ASIA,Premium,,23,40,0
S00000205,P00010053,Mythic Quest,2024-06-06,43,,51,,ASIA,Premium,,,37,0
S00000206,P00010053,Mythic Quest,2024-06-21,109,4.33,MAX,,ASIA,Premium,,44,9,0
S00000207,P00010053,Mythic Quest,2024-08-04,178,,56,,ASIA,Premium,,37,,0
S00000208,P00010053,Mythic Quest,2024-08-10,32,12.58,62,,ASIA,Premium,,71,11,0
S00000209,P00010054,Mythic Quest,2024-04-21,72,0,22,PC,N/A,Free,new,0,8,Yes
S00000210,P00010055,Mythic Quest,2024-05-11,182,2.47,14,,EU,Premium,Veteran,18,47,1
S00000211,P00010056,Mythic Quest,2024-06-17,82,0,21,PlayStation,NA,Casual,veteran,12,39,0
S00000212,P00010056,Mythic Quest,2024-06-29,218,,MAX,PlayStation,NA,Casual,veteran,16,53,0
S00000213,P00010056,Mythic Quest,2024-07-17,88,,26,PlayStation,NA,Casual,veteran,-1,53,0
S00000214,P00010056,Mythic Quest,2024-07-26,68,0,27,PlayStation,NA,Casual,veteran,23,0,0
S00000215,P00010056,Mythic Quest,2024-08-01,110,,31,PlayStation,NA,Casual,veteran,39,13,0
S00000216,P00010056,Mythic Quest,2024-08-02,157,,35,PlayStation,NA,Casual,veteran,70,38,0
S00000217,P00010057,Mythic Quest,2024-05-27,37,9.76,13,PLAYSTATION,SA,Free,,12,25,No
S00000218,P00010057,Mythic Quest,2024-06-06,172,8.96,14,PLAYSTATION,SA,Free,,32,6,0
S00000219,P00010057,Mythic Quest,2024-06-13,117,,17,PLAYSTATION,SA,Free,,19,44,No
S00000220,P00010058,Mythic Quest,2024-06-15,79,0,15,pc,NA,Casual,veteran,32,15,0
S00000221,P00010058,Mythic Quest,2024-06-23,126,0,17,pc,NA,Casual,veteran,27,36,0
S00000222,P00010058,Mythic Quest,2024-06-24,13,0,19,pc,NA,Casual,veteran,32,49,0
S00000223,P00010058,Mythic Quest,2024-08-12,133,2.41,22,pc,NA,Casual,veteran,42,5,No
S00000224,P00010059,Mythic Quest,2024-04-24,82,12.24,42,pc,SA,PREMIUM,Veteran,25,20,0
S00000225,P00010059,Mythic Quest,2024-06-04,136,13.00,43,pc,SA,PREMIUM,Veteran,,16,No
S00000226,P00010059,Mythic Quest,2024-06-05,87,11.21,46,pc,SA,PREMIUM,Veteran,28,11,0
S00000227,P00010059,Mythic Quest,2024-07-31,68,15.61,48,pc,SA,PREMIUM,Veteran,41,,0
S00000228,P00010059,Mythic Quest,2024-08-09,224,3.11,52,pc,SA,PREMIUM,Veteran,52,28,0
S00000229,P00010060,Mythic Quest,2024-06-07,57,14.45,46,Xbox,ASIA,,veteran,18,34,0
S00000230,P00010060,Mythic Quest,2024-06-20,137,,48,Xbox,ASIA,,veteran,24,23,0
S00000231,P00010060,Mythic Quest,2024-06-23,220,10.39,50,Xbox,ASIA,,veteran,48,37,0
S00000232,P00010060,Mythic Quest,2024-08-09,254,,54,Xbox,ASIA,,veteran,50,9,0
S00000233,P00010060,Mythic Quest,2024-08-09,120,0,57,Xbox,ASIA,,veteran,64,7,0
S00000234,P00010061,Mythic Quest,2024-05-10,116,,22,PC,N/A,Casual,new,14,42,0
S00000235,P00010061,Mythic Quest,2024-05-18,,14.73,24,PC,N/A,Casual,new,35,5,0
S00000236,P00010061,Mythic Quest,2024-05-26,165,10.97,25,PC,N/A,Casual,new,18,27,0
S00000237,P00010061,Mythic Quest,2024-06-26,206,,29,PC,N/A,Casual,new,57,26,0
S00000238,P00010061,Mythic Quest,2024-07-17,121,,32,PC,N/A,Casual,new,39,49,0
S00000239,P00010062,Mythic Quest,2024-04-18,148,0,15,pc,ASIA,,new,23,7,0
S00000240,P00010062,Mythic Quest,2024-06-28,65,12.42,17,pc,ASIA,,new,-1,47,0
S00000241,P00010062,Mythic Quest,2024-07-03,,0,19,pc,ASIA,,new,28,12,0
S00000242,P00010062,Mythic Quest,2024-07-13,160,,22,pc,ASIA,,new,31,50,0
S00000243,P00010062,Mythic Quest,2024-07-28,79,0,25,pc,ASIA,,new,33,3,0
S00000244,P00010062,Mythic Quest,2024-08-06,53,0,27,pc,ASIA,,new,65,20,0
S00000245,P00010063,Mythic Quest,2024-04-27,121,,44,,EU,Whale,Intermediate,3,,0
S00000246,P00010063,Mythic Quest,2024-05-17,145,33.05,46,,EU,Whale,Intermediate,20,33,0
S00000247,P00010063,Mythic Quest,2024-07-20,149,0,48,,EU,Whale,Intermediate,46,38,0
S00000248,P00010063,Mythic Quest,2024-07-26,122,119.12,51,,EU,Whale,Intermediate,50,,No
S00000249,P00010064,Mythic Quest,2024-06-23,127,24.98,16,PLAYSTATION,EU,Premium,Veteran,8,55,No
S00000250,P00010064,Mythic Quest,2024-07-01,107,0,18,PLAYSTATION,EU,Premium,Veteran,24,52,0
S00000251,P00010065,Mythic Quest,2024-04-18,184,4.07,8,,OCE,,,17,41,1
S00000252,P00010066,Mythic Quest,2024-04-27,177,,13,,N/A,Premium,Veteran,21,54,0
S00000253,P00010066,Mythic Quest,2024-05-14,75,19.39,15,,N/A,Premium,Veteran,8,54,No
S00000254,P00010066,Mythic Quest,2024-05-31,124,0,16,,N/A,Premium,Veteran,19,27,0
S00000255,P00010066,Mythic Quest,2024-06-29,22,1.56,20,,N/A,Premium,Veteran,24,38,0
S00000256,P00010066,Mythic Quest,2024-07-15,102,,MAX,,N/A,Premium,Veteran,32,,0
S00000257,P00010066,Mythic Quest,2024-07-20,92,0,26,,N/A,Premium,Veteran,,1,0
S00000258,P00010066,Mythic Quest,2024-08-10,143,,25,,N/A,Premium,Veteran,51,38,0
S00000259,P00010067,Mythic Quest,2024-05-11,91,,33,PC,ASIA,PREMIUM,veteran,15,42,1
S00000260,P00010069,Mythic Quest,2024-05-07,97,0,32,pc,,,,12,25,0
S00000261,P00010069,Mythic Quest,2024-06-27,80,2.38,34,pc,,,,41,50,0
S00000262,P00010069,Mythic Quest,2024-06-28,NULL,0,36,pc,,,,-1,23,0
S00000263,P00010069,Mythic Quest,2024-06-30,172,0,40,pc,,,,59,42,0
S00000264,P00010069,Mythic Quest,2024-07-13,185,0,,pc,,,,34,28,0
S00000265,P00010069,Mythic Quest,2024-07-19,161,,44,pc,,,,55,46,0
S00000266,P00010069,Mythic Quest,2024-07-26,226,,48,pc,,,,73,26,0
